,school,sos,year
0,abilene-christian,-6.82,2018
1,air-force,1.72,2018
2,akron,-1.92,2018
3,alabama-am,-8.04,2018
4,alabama-birmingham,-0.65,2018
5,alabama-state,-8.62,2018
6,alabama,10.64,2018
7,albany-ny,-5.41,2018
8,alcorn-state,-8.60,2018
9,american,-6.17,2018
10,appalachian-state,-2.65,2018
11,arizona-state,6.56,2018
12,arizona,6.84,2018
13,arkansas-little-rock,-2.21,2018
14,arkansas-pine-bluff,-9.36,2018
15,arkansas-state,-3.02,2018
16,arkansas,9.85,2018
17,army,-7.17,2018
18,auburn,7.29,2018
19,austin-peay,-2.49,2018
20,ball-state,-1.99,2018
21,baylor,9.17,2018
22,belmont,-2.88,2018
23,bethune-cookman,-12.48,2018
24,binghamton,-6.36,2018
25,boise-state,3.05,2018
26,boston-college,7.20,2018
27,boston-university,-5.84,2018
28,bowling-green-state,-2.88,2018
29,bradley,0.36,2018
30,brigham-young,1.53,2018
31,brown,-4.67,2018
32,bryant,-5.43,2018
33,bucknell,-3.46,2018
34,buffalo,0.25,2018
35,butler,10.55,2018
36,cal-poly,-1.83,2018
37,cal-state-bakersfield,-0.73,2018
38,cal-state-fullerton,-1.02,2018
39,cal-state-northridge,-3.55,2018
40,california-davis,-1.84,2018
41,california-irvine,-0.33,2018
42,california-riverside,-1.53,2018
43,california-santa-barbara,-3.36,2018
44,university-of-california,6.06,2018
45,campbell,-6.68,2018
46,canisius,-4.80,2018
47,central-arkansas,-5.97,2018
48,central-connecticut-state,-7.59,2018
49,central-florida,3.75,2018
50,central-michigan,-3.24,2018
51,charleston-southern,-6.15,2018
52,charlotte,0.27,2018
53,chattanooga,-4.05,2018
54,chicago-state,1.17,2018
55,cincinnati,3.53,2018
56,citadel,-2.94,2018
57,clemson,9.25,2018
58,cleveland-state,-3.64,2018
59,coastal-carolina,-2.40,2018
60,colgate,-5.73,2018
61,college-of-charleston,-3.29,2018
62,colorado-state,3.79,2018
63,colorado,7.00,2018
64,columbia,-3.02,2018
65,connecticut,6.05,2018
66,coppin-state,-7.25,2018
67,cornell,-3.24,2018
68,creighton,8.10,2018
69,dartmouth,-4.00,2018
70,davidson,2.57,2018
71,dayton,2.70,2018
72,delaware-state,-9.32,2018
73,delaware,-2.96,2018
74,denver,-2.54,2018
75,depaul,8.45,2018
76,detroit-mercy,-2.07,2018
77,drake,0.59,2018
78,drexel,-2.48,2018
79,duke,9.71,2018
80,duquesne,-3.33,2018
81,east-carolina,-0.22,2018
82,east-tennessee-state,-4.09,2018
83,eastern-illinois,-3.40,2018
84,eastern-kentucky,-3.68,2018
85,eastern-michigan,-2.81,2018
86,eastern-washington,-1.55,2018
87,elon,-1.69,2018
88,evansville,1.35,2018
89,fairfield,-3.68,2018
90,fairleigh-dickinson,-5.66,2018
91,florida-am,-8.34,2018
92,florida-atlantic,-0.14,2018
93,florida-gulf-coast,-5.44,2018
94,florida-international,-1.99,2018
95,florida-state,8.50,2018
96,florida,10.08,2018
97,fordham,1.26,2018
98,fresno-state,1.84,2018
99,furman,-3.64,2018
100,gardner-webb,-3.79,2018
101,george-mason,0.83,2018
102,george-washington,2.13,2018
103,georgetown,5.29,2018
104,georgia-southern,-3.28,2018
105,georgia-state,-2.78,2018
106,georgia-tech,7.47,2018
107,georgia,8.87,2018
108,gonzaga,2.59,2018
109,grambling,-10.30,2018
110,grand-canyon,-4.81,2018
111,green-bay,-4.08,2018
112,hampton,-9.57,2018
113,hartford,-5.26,2018
114,harvard,-1.70,2018
115,hawaii,-2.50,2018
116,high-point,-6.37,2018
117,hofstra,-1.60,2018
118,holy-cross,-5.83,2018
119,houston-baptist,-3.96,2018
120,houston,4.16,2018
121,howard,-9.75,2018
122,idaho-state,-3.70,2018
123,idaho,-3.94,2018
124,illinois-chicago,-4.21,2018
125,illinois-state,3.67,2018
126,illinois,7.53,2018
127,incarnate-word,-5.04,2018
128,indiana-state,2.43,2018
129,indiana,8.25,2018
130,iona,-2.19,2018
131,iowa-state,9.49,2018
132,iowa,7.13,2018
133,ipfw,-3.24,2018
134,iupui,-3.53,2018
135,jackson-state,-10.49,2018
136,jacksonville-state,-4.87,2018
137,jacksonville,-6.12,2018
138,james-madison,-2.15,2018
139,kansas-state,8.74,2018
140,kansas,11.87,2018
141,kennesaw-state,-4.31,2018
142,kent-state,-1.75,2018
143,kentucky,10.73,2018
144,la-salle,2.54,2018
145,lafayette,-6.04,2018
146,lamar,-7.22,2018
147,lehigh,-5.66,2018
148,liberty,-6.23,2018
149,lipscomb,-3.80,2018
150,long-beach-state,0.89,2018
151,long-island-university,-8.19,2018
152,longwood,-4.31,2018
153,louisiana,-2.54,2018
154,louisiana-monroe,-3.31,2018
155,louisiana-state,8.03,2018
156,louisiana-tech,-0.12,2018
157,louisville,9.08,2018
158,loyola-il,1.81,2018
159,loyola-marymount,1.09,2018
160,loyola-md,-5.25,2018
161,maine,-3.28,2018
162,manhattan,-4.15,2018
163,marist,-3.57,2018
164,marquette,9.70,2018
165,marshall,0.44,2018
166,maryland-baltimore-county,-3.84,2018
167,maryland-eastern-shore,-7.57,2018
168,maryland,7.94,2018
169,massachusetts-lowell,-5.78,2018
170,massachusetts,1.10,2018
171,mcneese-state,-6.10,2018
172,memphis,2.16,2018
173,mercer,-3.50,2018
174,miami-fl,6.96,2018
175,miami-oh,-1.15,2018
176,michigan-state,7.10,2018
177,michigan,9.41,2018
178,middle-tennessee,2.83,2018
179,milwaukee,-4.25,2018
180,minnesota,6.91,2018
181,mississippi-state,6.82,2018
182,mississippi-valley-state,-8.13,2018
183,mississippi,9.16,2018
184,missouri-kansas-city,-1.02,2018
185,missouri-state,0.45,2018
186,missouri,9.19,2018
187,monmouth,-1.24,2018
188,montana-state,-3.53,2018
189,montana,-2.25,2018
190,morehead-state,-1.91,2018
191,morgan-state,-11.97,2018
192,mount-st-marys,-8.05,2018
193,murray-state,-3.53,2018
194,navy,-7.22,2018
195,nebraska-omaha,0.33,2018
196,nebraska,7.32,2018
197,nevada-las-vegas,1.87,2018
198,nevada,4.93,2018
199,new-hampshire,-4.32,2018
200,new-mexico-state,-1.10,2018
201,new-mexico,3.30,2018
202,new-orleans,-5.78,2018
203,niagara,-4.21,2018
204,nicholls-state,-5.86,2018
205,njit,-5.53,2018
206,norfolk-state,-10.18,2018
207,north-carolina-asheville,-3.57,2018
208,north-carolina-at,-11.20,2018
209,north-carolina-central,-12.31,2018
210,north-carolina-greensboro,-3.87,2018
211,north-carolina-state,6.70,2018
212,north-carolina-wilmington,-1.15,2018
213,north-carolina,11.78,2018
214,north-dakota-state,-1.58,2018
215,north-dakota,-0.20,2018
216,north-florida,-1.74,2018
217,north-texas,-0.40,2018
218,northeastern,-1.61,2018
219,northern-arizona,-1.03,2018
220,northern-colorado,-2.27,2018
221,northern-illinois,-1.71,2018
222,northern-iowa,3.87,2018
223,northern-kentucky,-4.07,2018
224,northwestern-state,-4.18,2018
225,northwestern,8.37,2018
226,notre-dame,7.94,2018
227,oakland,-3.76,2018
228,ohio-state,9.03,2018
229,ohio,-1.65,2018
230,oklahoma-state,9.12,2018
231,oklahoma,10.56,2018
232,old-dominion,-1.27,2018
233,oral-roberts,1.05,2018
234,oregon-state,4.57,2018
235,oregon,4.84,2018
236,pacific,1.80,2018
237,penn-state,7.79,2018
238,pennsylvania,-3.17,2018
239,pepperdine,1.82,2018
240,pittsburgh,8.47,2018
241,portland-state,-1.05,2018
242,portland,2.43,2018
243,prairie-view,-7.71,2018
244,presbyterian,-5.53,2018
245,princeton,-1.97,2018
246,providence,10.23,2018
247,purdue,8.74,2018
248,quinnipiac,-4.44,2018
249,radford,-4.08,2018
250,rhode-island,4.61,2018
251,rice,-0.04,2018
252,richmond,3.61,2018
253,rider,-2.62,2018
254,robert-morris,-6.11,2018
255,rutgers,6.83,2018
256,sacramento-state,-0.74,2018
257,sacred-heart,-6.98,2018
258,saint-francis-pa,-6.71,2018
259,saint-josephs,1.90,2018
260,saint-louis,2.92,2018
261,saint-marys-ca,0.33,2018
262,saint-peters,-4.36,2018
263,sam-houston-state,-4.80,2018
264,samford,-3.37,2018
265,san-diego-state,3.91,2018
266,san-diego,0.49,2018
267,san-francisco,1.63,2018
268,san-jose-state,2.91,2018
269,santa-clara,0.61,2018
270,savannah-state,-5.06,2018
271,seattle,-3.09,2018
272,seton-hall,10.11,2018
273,siena,-2.99,2018
274,south-alabama,-2.87,2018
275,south-carolina-state,-8.78,2018
276,south-carolina-upstate,-4.35,2018
277,south-carolina,9.23,2018
278,south-dakota-state,-0.38,2018
279,south-dakota,-2.60,2018
280,south-florida,0.05,2018
281,southeast-missouri-state,-4.88,2018
282,southeastern-louisiana,-6.20,2018
283,southern-california,6.29,2018
284,southern-illinois-edwardsville,-3.36,2018
285,southern-illinois,0.65,2018
286,southern-methodist,3.66,2018
287,southern-mississippi,1.31,2018
288,southern-utah,-0.88,2018
289,southern,-9.57,2018
290,st-bonaventure,2.61,2018
291,st-francis-ny,-7.32,2018
292,st-johns-ny,10.69,2018
293,stanford,7.14,2018
294,stephen-f-austin,-6.46,2018
295,stetson,-6.46,2018
296,stony-brook,-2.28,2018
297,syracuse,10.02,2018
298,temple,7.79,2018
299,tennessee-martin,-4.96,2018
300,tennessee-state,-2.98,2018
301,tennessee-tech,-3.54,2018
302,tennessee,10.12,2018
303,texas-am-corpus-christi,-6.56,2018
304,texas-am,10.62,2018
305,texas-arlington,-1.43,2018
306,texas-christian,9.68,2018
307,texas-el-paso,-0.20,2018
308,texas-rio-grande-valley,-2.84,2018
309,texas-san-antonio,-0.93,2018
310,texas-southern,-5.53,2018
311,texas-state,-3.44,2018
312,texas-tech,9.60,2018
313,texas,10.67,2018
314,toledo,-1.75,2018
315,towson,-3.14,2018
316,troy,-2.11,2018
317,tulane,2.08,2018
318,tulsa,2.38,2018
319,ucla,6.86,2018
320,utah-state,2.65,2018
321,utah-valley,-1.76,2018
322,utah,6.40,2018
323,valparaiso,0.93,2018
324,vanderbilt,10.14,2018
325,vermont,-3.17,2018
326,villanova,10.24,2018
327,virginia-commonwealth,2.42,2018
328,virginia-military-institute,-4.25,2018
329,virginia-tech,6.72,2018
330,virginia,9.07,2018
331,wagner,-6.90,2018
332,wake-forest,8.79,2018
333,washington-state,5.22,2018
334,washington,6.06,2018
335,weber-state,-2.88,2018
336,west-virginia,9.36,2018
337,western-carolina,-1.63,2018
338,western-illinois,-2.28,2018
339,western-kentucky,3.65,2018
340,western-michigan,-1.99,2018
341,wichita-state,5.46,2018
342,william-mary,-1.32,2018
343,winthrop,-5.84,2018
344,wisconsin,9.50,2018
345,wofford,-2.45,2018
346,wright-state,-3.64,2018
347,wyoming,3.54,2018
348,xavier,9.45,2018
349,yale,-2.83,2018
350,youngstown-state,-2.56,2018
